Time,PixelLabelData
0 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_1.png
0.051667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_2.png
0.11 sec,
0.15167 sec,
0.20167 sec,
0.25 sec,
0.30667 sec,
0.36333 sec,
0.41833 sec,
0.47167 sec,
0.525 sec,
0.58 sec,
0.63333 sec,
0.685 sec,
0.74 sec,
0.79333 sec,
0.855 sec,
0.91 sec,
0.96167 sec,
1.0133 sec,
1.0633 sec,
1.1183 sec,
1.1717 sec,
1.2283 sec,
1.2917 sec,
1.3383 sec,
1.395 sec,
1.4433 sec,
1.4983 sec,
1.5533 sec,
1.6067 sec,
1.66 sec,
1.72 sec,
1.7867 sec,
1.8233 sec,
1.8817 sec,
1.935 sec,
1.9833 sec,
2.0383 sec,
2.0983 sec,
2.145 sec,
2.2017 sec,
2.2567 sec,
2.3117 sec,
2.3617 sec,
2.4167 sec,
2.47 sec,
2.5467 sec,
2.5867 sec,
2.6517 sec,
2.6983 sec,
2.75 sec,
2.805 sec,
2.86 sec,
2.915 sec,
2.965 sec,
3.025 sec,
3.075 sec,
3.1283 sec,
3.1833 sec,
3.2367 sec,
3.29 sec,
3.3433 sec,
3.3967 sec,
3.4517 sec,
3.5033 sec,
3.56 sec,
3.61 sec,
3.665 sec,
3.7183 sec,
3.7733 sec,
3.8267 sec,
3.8817 sec,
3.94 sec,
3.9917 sec,
4.0467 sec,
4.0967 sec,
4.1533 sec,
4.2067 sec,
4.26 sec,
4.3383 sec,
4.3933 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_82.png
4.4533 sec,
4.505 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_84.png
4.56 sec,
4.6083 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_86.png
4.6617 sec,
4.7117 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_88.png
4.77 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_89.png
4.82 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_90.png
4.8817 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_91.png
4.93 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_92.png
4.98 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/027/RLT/anno/PixelLabelData/RLT_Label_93.png
